Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary,Name-additional
600,Alek Thomas*,22,ARI,NL,45,169,154,24,40,7,0,6,16,4,0,12,32,.260,.320,.422,.742,110,65,1,2,0,1,0,8,thomaal01
601,Dillon Thomas*,29,LAA,AL,1,4,2,1,0,0,0,0,0,0,0,1,1,.000,.500,.000,.500,61,0,0,1,0,0,0,/79,thomadi01
602,Lane Thomas,26,WSN,NL,67,235,212,27,49,11,1,8,30,1,0,19,58,.231,.294,.406,.699,101,86,3,1,0,3,0,*78/9HD,thomala02
603,Trayce Thompson,31,TOT,NL,14,39,36,3,7,1,0,1,7,1,1,3,17,.194,.256,.306,.562,59,11,0,0,0,0,0,9/H7,thomptr01
604,Trayce Thompson,31,SDP,NL,6,16,14,1,1,0,0,0,2,0,1,2,7,.071,.188,.071,.259,-20,1,0,0,0,0,0,/9H7,thomptr01
605,Trayce Thompson,31,LAD,NL,8,23,22,2,6,1,0,1,5,1,0,1,10,.273,.304,.455,.759,107,10,0,0,0,0,0,/9H,thomptr01
606,Ka'ai Tom*,28,SFG,NL,1,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,/H9,tomka01
607,Spencer Torkelson,22,DET,AL,66,240,210,19,40,9,0,4,16,0,1,26,62,.190,.283,.290,.574,68,61,7,2,0,2,0,*3/H,torkesp01
608,Abraham Toro#,25,SEA,AL,60,213,198,21,34,7,1,7,18,1,0,12,34,.172,.221,.323,.544,57,64,2,1,0,2,1,45D/H3,toroab01
609,Luis Torrens,26,SEA,AL,36,118,108,8,24,2,0,0,8,0,0,8,38,.222,.280,.241,.520,55,26,4,1,0,1,0,2/DH4,torrelu01
610,Gleyber Torres,25,NYY,AL,67,249,228,33,57,13,1,13,32,4,2,16,47,.250,.302,.487,.789,124,111,5,2,1,2,1,*4/H6D,torregl01
611,Taylor Trammell*,24,SEA,AL,32,94,81,14,19,9,0,3,9,2,1,11,24,.235,.323,.457,.779,126,37,1,0,1,1,0,9/8HD,trammta01
612,Alan Trejo,26,COL,NL,11,40,39,6,9,1,0,1,6,0,0,1,9,.231,.250,.333,.583,56,13,1,0,0,0,0,/465H,trejoal01
613,Jose Trevino,29,NYY,AL,50,140,129,19,35,3,1,6,24,1,0,9,20,.271,.321,.450,.771,121,58,1,1,0,1,0,2/H,trevijo01
614,Mike Trout,30,LAA,AL,68,283,242,52,69,16,2,23,46,0,0,37,79,.285,.389,.653,1.042,191,158,3,4,0,0,6,*8/DH,troutmi01
615,Yoshi Tsutsugo*,30,PIT,NL,35,135,113,8,20,3,0,2,15,0,0,18,31,.177,.281,.257,.538,55,29,3,0,0,4,0,3/DH,tsutsyo01
616,Cole Tucker#,25,PIT,NL,18,63,63,3,11,1,1,0,2,1,0,0,25,.175,.175,.222,.397,12,14,1,0,0,0,0,9/46H,tuckeco01
617,Kyle Tucker*,25,HOU,AL,68,276,239,32,61,12,0,15,51,14,1,36,45,.255,.351,.494,.845,141,118,4,0,0,1,1,*9/H,tuckeky01
618,Justin Turner,37,LAD,NL,69,286,253,31,55,20,0,4,38,1,0,27,50,.217,.290,.344,.634,75,87,7,1,0,5,1,5D/H,turneju01
619,Trea Turner,29,LAD,NL,73,322,293,41,91,17,2,11,54,15,2,23,62,.311,.358,.495,.853,134,145,5,1,0,4,1,*6,turnetr01
620,Justin Upton,34,SEA,AL,10,37,31,0,4,1,0,0,2,0,0,4,15,.129,.270,.161,.432,31,5,1,2,0,0,0,/D97,uptonju01
621,Luis Urias,25,MIL,NL,48,198,171,24,38,5,0,7,21,1,1,22,45,.222,.318,.374,.692,95,64,4,3,0,2,0,645,uriaslu01
622,Ramon Urias,28,BAL,AL,49,188,173,22,39,10,0,6,18,0,0,11,48,.225,.273,.387,.660,87,67,2,1,1,2,0,5/46HD,uriasra01
623,Gio Urshela,30,MIN,AL,70,264,240,29,61,13,1,6,32,0,0,20,45,.254,.307,.392,.698,101,94,13,0,0,4,0,*5/D,urshegi01
624,Josh VanMeter*,27,PIT,NL,37,115,105,10,22,2,2,3,10,2,0,9,27,.210,.270,.352,.622,76,37,1,0,0,1,0,4/H32D19,vanmejo01
625,Ildemaro Vargas#,30,CHC,NL,10,26,23,4,3,0,1,1,4,0,0,3,2,.130,.231,.348,.579,60,8,1,0,0,0,0,/64H,vargail01
626,Daulton Varsho*,25,ARI,NL,68,279,251,34,59,14,0,10,32,4,3,19,67,.235,.299,.410,.709,100,103,4,5,1,3,0,28D9/H,varshda01
627,Andrew Vaughn,24,CHW,AL,56,239,215,25,66,13,0,7,33,0,0,17,41,.307,.360,.465,.825,134,100,5,3,0,4,0,97D/34H,vaughan01
628,Christian Vazquez,31,BOS,AL,58,213,196,21,57,15,0,4,31,1,2,12,35,.291,.333,.429,.762,110,84,3,2,0,3,0,*2/3H,vazquch01
629,Andrew Velazquez#,27,LAA,AL,69,216,200,22,35,6,0,5,20,10,0,9,70,.175,.220,.280,.500,42,56,3,3,2,2,0,*6/H,velazan01
630,Nelson Velázquez,23,CHC,NL,8,20,17,3,6,1,0,0,0,0,0,3,5,.353,.450,.412,.862,145,7,0,0,0,0,0,/97H,velazne01
631,Alex Verdugo*,26,BOS,AL,69,290,266,32,70,16,0,5,39,0,1,19,30,.263,.310,.380,.690,91,101,7,1,0,4,2,*7,verdual01
632,Matt Vierling,25,PHI,NL,39,102,93,13,22,3,0,3,7,2,2,7,21,.237,.294,.366,.660,87,34,5,1,0,1,0,8/7H9345,vierlma01
633,Jonathan Villar#,31,CHC,NL,46,166,153,19,34,6,2,2,15,6,0,11,42,.222,.271,.327,.598,67,50,3,0,0,2,0,45/H6D,villajo01
634,Meibrys Viloria*,25,TEX,AL,1,3,3,0,2,0,0,0,0,0,0,0,1,.667,.667,.667,1.333,289,2,0,0,0,0,0,/2,vilorme01
635,Daniel Vogelbach*,29,PIT,NL,58,211,183,23,40,7,1,9,23,0,0,27,53,.219,.318,.415,.733,107,76,6,0,0,1,1,*D/H3,vogelda01
